"quad";"species";"individual";"microh";"ind";"x";"y";"diam";"height";"leaves";"demo";"pheno";"dryw";"ancho";"Sup_mm2";"Error";"lma";"sla";"radius";"xt";"yt";"id";"area";"gdist_min";"biomass"
2;"Anthyllis vulneraria";1;"dryas";"3";60.6;76.6;3.1;2.1;7;"a";"v";11975;24.6;140.8563482378;1.9364360416;85.0156925819436;0.0117625342996075;1.55;160.6;76.6;2.1;7.51667604518312;0;83825
2;"Anthyllis vulneraria";2;"dryas";"3";66.3;82.5;2;1.5;3;"j";"v";2546;15.2;62.5016667236;2.2135566005;40.7349136985279;0.0245489657201885;1;166.3;82.5;2.2;3.12868930080462;0;7638
2;"Anthyllis vulneraria";3;"dryas";"3";64.6;88.3;6.8;3.3;18;"a";"v";17592;39.2;200.3831105354;6.0797395675;87.7918301247857;0.011390581544759;3.4;164.6;88.3;2.3;36.1676483173014;0;316656
2;"Anthyllis vulneraria";4;"open";"na";61.5;94.5;9.7;5.3;35;"a";"f/r";34541;41.6;487.5115667552;0.9822373838;70.8516522590416;0.0141139968951449;4.85;161.5;94.5;2.4;73.5945940781766;2.23244768157559;1208935
2;"Draba aizoides";1;"dryas";"1";13.6;6.1;0.7;0.8;15;"a";"v";179;3.9;2.3010706524;14.953271028;77.7898756882168;0.0128551433094972;0.35;113.6;6.1;2.1;0.383264439348565;0;2685
2;"Draba aizoides";2;"dryas";"1";40.7;4.4;0.7;0.6;12;"a";"v";156;4;1.9283115436;21.56133829;80.8997905539479;0.0123609714333333;0.35;140.7;4.4;2.2;0.383264439348562;7.04902941966428;1872
2;"Draba aizoides";3;"dryas";"2";35.9;52.2;1.9;1;50;"a";"v";294;5.9;3.8566230872;13.9405204461;76.2324949450663;0.0131177656027211;0.95;135.9;52.2;2.3;2.82364209397616;0;14700
2;"Draba aizoides";4;"dryas";"2";42.6;54.7;3.2;1.5;90;"a";"v";234;4.2;2.7168404276;16.8865435356;86.129460391868;0.0116104291777778;1.6;142.6;54.7;2.4;8.00944461005984;5.06165824124787;21060
2;"Draba aizoides";5;"open";"na";4.2;82.5;3.6;1.2;110;"a";"v";244;5;2.4874502068;20.1729106628;98.0924158131775;0.0101944680606557;1.8;104.2;82.5;2.5;10.1369533346069;10.204410811017;26840
2;"Draba aizoides";6;"dryas";"3";61;82.5;19.6;2.9;350;"a";"v";428.576470588235;NA;NA;NA;91.3197554545014;NA;9.8;161;82.5;2.6;300.479320449276;0;150001.764705882
2;"Dryas octopetala";1;"dryas";"1";3.9;32.8;79;4.3;600;"a";"r";11561;24.2;45.125357498;23.9078633836;256.197416286672;0.00390323998771733;39.5;103.9;32.8;2.1;4881.53748158041;0;6936600
2;"Dryas octopetala";2;"dryas";"2";97.9;9.4;5.8;3.6;40;"a";"v";5940;22.4;78.5912401794;4.8022985361;75.5809424363425;0.0132308485150505;2.9;197.9;9.4;2.2;26.3122770197668;0;237600
2;"Dryas octopetala";3;"dryas";"3";61;82.5;19.6;2.9;350;"a";"v";8093;23.4;39.0070902026;19.5074887439;207.475101525531;0.00481985545565303;9.8;161;82.5;2.3;300.479320449276;0;2832550
2;"Erigeron uniflorus";1;"open";"na";53.8;1.5;1.3;1.5;3;"j";"v";2789;22.5;33.9497928024;39.4655704008;82.1507222807804;0.0121727475089279;0.65;153.8;1.5;2.1;1.32187122958994;19.5227145902904;8367
2;"Erigeron uniflorus";2;"dryas";"1";63.3;17.9;0.5;1.3;1;"j";"v";648;15.7;23.7024614086;7.545743233;27.3389328150065;0.0365778725441358;0.25;163.3;17.9;2.2;0.195543081300288;21.8588745137235;648
2;"Erigeron uniflorus";3;"dryas";"2";41.2;26.2;1.2;1.9;1;"j";"v";1863;18.2;30.2974302566;10.8008990891;61.4903635133928;0.016262710819431;0.6;141.2;26.2;2.3;1.12632814828966;0;1863
2;"Erigeron uniflorus";4;"dryas";"2";46.7;46.2;1.6;1.6;3;"j";"v";2515;16.5;29.175568708;15.4545454545;86.2022613910652;0.0116006237407555;0.8;146.7;46.2;2.4;2.00236115251495;5.36736578927895;7545
2;"Erigeron uniflorus";5;"dryas";"2";13;41.7;2.6;3.1;3;"a";"v";4066;35.1;67.329614027;15.4112323662;60.3894743607097;0.01655917708485;1.3;113;41.7;2.5;5.2874849183598;0;12198
2;"Erigeron uniflorus";6;"open";"na";90.6;48.5;2.1;1.4;3;"a";"v";2925;9.5;30.3117510958;2.7224249228;96.4972294327558;0.0103629918276239;1.05;190.6;48.5;2.6;3.44937995413709;35.3076751867784;8775
2;"Erigeron uniflorus";7;"dryas";"2";47.6;68.4;2.5;1.4;2;"j";"v";3492;23.3;60.143248516;3.6591179976;58.0613798915604;0.0172231524959908;1.25;147.6;68.4;2.7;4.88857703250721;9.65812843263027;6984
2;"Erigeron uniflorus";8;"open";"na";0.9;95.8;1.3;1.7;3;"a";"v";1942;14.2;25.6451058286;5.6916893556;75.7259499328811;0.0132055127850669;0.65;100.9;95.8;2.8;1.32187122958995;18.4019682440303;5826
2;"Erigeron uniflorus";9;"moss";"3";31.2;92.3;1.4;1.6;3;"j";"v";3025;19.6;31.7490402476;10.3183562881;95.2784706690045;0.0104955504950744;0.7;131.2;92.3;2.9;1.53305775739426;7.84887348038842;9075
2;"Galium anisophyllon";1;"open";"na";92.3;16.8;0.8;2.2;25;"a";"v";451;3.5;7.4408452872;9.0558766859;60.6113932748778;0.0164985483086474;0.4;192.3;16.8;2.1;0.500590288128739;6.38088752894759;11275
2;"Galium anisophyllon";2;"open";"na";94.4;18.7;0.7;1.5;15;"a";"v";344;3.2;6.5858959504;10.0494949586;52.2328324939763;0.0191450463674419;0.35;194.4;18.7;2.2;0.383264439348563;7.04109128676285;5160
2;"Leontodon montanus";1;"dryas";"1";15.2;7.4;1.9;2.3;2;"j";"v";1290;19;29.4909802616;7.7053962081;43.7421879014208;0.0228612250089923;0.95;115.2;7.4;2.1;2.82364209397617;0;2580
2;"Leontodon montanus";2;"dryas";"1";27.8;4.4;3.6;3.5;5;"a";"v";10895;38.7;113.4083746302;11.3871243007;96.0687430317754;0.0104092129077742;1.8;127.8;4.4;2.2;10.1369533346069;0;54475
2;"Leontodon montanus";3;"dryas";"2";0.2;27.4;4.1;3.6;4;"a";"v";5156;37.8;150.7308803988;3.842678461;34.2066601505835;0.0292340730020946;2.05;100.2;27.4;2.3;13.1483167866314;0;20624
2;"Leontodon montanus";4;"dryas";"2";4.9;38;2.2;2.1;2;"a";"v";3826;21.8;53.207758497;4.2585766941;71.9068066025694;0.0139068893092002;1.1;104.9;38;2.4;3.78571405397359;0;7652
2;"Leontodon montanus";5;"dryas";"2";31;35.5;3;2.9;3;"a";"v";4909;28.7;62.9353576098;15.89498263;78.000669042605;0.012820402853901;1.5;131;35.5;2.5;7.03955092681041;0;14727
2;"Leontodon montanus";6;"dryas";"2";34.4;36.3;5.8;2.2;7;"a";"v";8050;32.3;90.369128744;13.9570552147;89.079092737568;0.0112259787259627;2.9;134.4;36.3;2.6;26.3122770197668;0;56350
2;"Leontodon montanus";7;"dryas";"2";37.3;39.5;1.5;2;3;"a";"v";1922;18.4;35.931827555;12.578553616;53.490182124971;0.0186950195395421;0.75;137.3;39.5;2.7;1.75988773170259;0;5766
2;"Leontodon montanus";8;"dryas";"2";43.8;25.6;5.2;2.2;4;"a";"v";6207;34.9;113.1861327918;3.6690040443;54.8388733398768;0.0182352396957951;2.6;143.8;25.6;2.8;21.1499396734392;1.10013176435038;24828
2;"Leontodon montanus";9;"dryas";"2";45.9;38.4;5.2;2.3;10;"a";"v";15296;37.3;171.5444587142;7.1853910282;89.1663893701385;0.0112149881481564;2.6;145.9;38.4;2.9;21.1499396734392;2.93166427338582;152960
2;"Leontodon montanus";10;"dryas";"2";43.7;45.7;3.9;1.7;6;"a";"v";4574;23.9;87.4012563408;2.7975997405;52.3333438385004;0.0191082764190643;1.95;143.7;45.7;2.1;11.8968410663096;2.3385641985141;27444
2;"Leontodon montanus";11;"dryas";"2";43.6;48.6;1.2;1.9;2;"j";"v";1207;18.6;46.7525943768;4.8144740877;25.8167491256688;0.0387345438084507;0.6;143.6;48.6;2.11;1.12632814828966;3.34618098937697;2414
2;"Leontodon montanus";12;"dryas";"2";65.6;43.4;6.2;2.8;8;"a";"v";16045;47.4;96.8743576216;21.133639189;165.626904724088;0.00603766641455905;3.1;165.6;43.4;2.12;30.0667041807324;23.1130374586194;128360
2;"Leontodon montanus";13;"dryas";"2";69.8;26.2;3.6;2;5;"j";"v";2366;22.4;47.960465221;5.1212221853;49.332298781873;0.0202706953596788;1.8;169.8;26.2;2.13;10.136953334607;26.83644764485;11830
2;"Leontodon montanus";14;"dryas";"2";17.2;48.3;1.4;2.3;3;"j";"v";1844;23.8;74.5410690934;4.2265711401;24.7380406858596;0.0404235732610629;0.7;117.2;48.3;2.14;1.53305775739427;0;5532
2;"Leontodon montanus";15;"dryas";"2";28.6;47.7;2.8;2;4;"a";"v";2743;22.5;86.3188232426;3.0768591953;31.7775416410714;0.0314687653090047;1.4;128.6;47.7;2.15;6.13223102957706;0;10972
2;"Leontodon montanus";16;"dryas";"2";66.8;45.6;6.2;3.1;6;"a";"v";16058;53.5;171.3328491704;2.7564902275;93.7240002588729;0.0106696256800598;3.1;166.8;45.6;2.16;30.0667041807324;24.7719339710881;96348
2;"Leontodon montanus";17;"dryas";"2";54.3;43.5;2.1;2.3;3;"j";"v";1972;20.4;30.4085411448;17.9867986799;64.8502008238307;0.0154201527103448;1.05;154.3;43.5;2.17;3.44937995413709;12.1270747019983;5916
2;"Leontodon montanus";18;"open";"na";97.7;46.1;2.8;1.1;5;"a";"v";6909;21.2;87.2937236562;2.3831023517;79.1465836330982;0.0126347841447677;1.4;197.7;46.1;2.18;6.13223102957705;33.800591710797;34545
2;"Leontodon montanus";19;"open";"na";6.3;97;2.8;1.1;3;"j";"v";1028;15.3;21.738307643;12.5803792251;47.2897898439223;0.0211462136605058;1.4;106.3;97;2.19;6.13223102957706;13.4763163545036;3084
